,Link_ID,Origin_ID,Destination_ID
118,252,4710,3680
119,253,4710,262
120,254,262,4710
121,257,3680,3681
122,258,3681,3680
123,259,4231,3435
124,260,3435,4231
125,261,2507,4230
126,262,4230,2507
127,263,4230,3431
128,264,3431,4230
129,265,3435,3431
130,266,3431,3435
131,275,4231,4377
132,276,4377,4231
133,277,2507,4231
134,278,4231,2507
135,279,4377,3405
136,280,3405,4377
137,281,4377,4435
138,282,4435,4377
139,283,3405,4487
140,284,4487,3405
141,285,2507,2508
142,286,2508,2507
143,287,2509,2508
144,288,2508,2509
145,291,2508,3435
146,292,3435,2508
147,293,2509,4230
148,294,4230,2509
149,300,129,131
150,301,131,129
151,302,131,126
152,303,126,131
153,304,126,133
154,305,133,126
155,306,126,867
156,307,867,126
157,308,867,131
158,309,131,867
159,310,869,867
160,311,867,869
161,312,869,129
162,313,129,869
163,314,4051,4030
164,315,4030,4051
165,316,4030,4321
166,317,4321,4030
167,318,4321,3662
168,319,3662,4321
169,322,2822,2820
170,323,2820,2822
171,324,3002,3662
172,325,3662,3002
173,328,4030,4035
174,329,4035,4030
175,334,2827,4051
176,335,4051,2827
177,338,3002,3003
178,339,3003,3002
179,340,3003,3004
180,341,3004,3003
181,342,3004,4035
182,343,4035,3004
183,348,4566,4562
184,349,4562,4566
185,352,4562,4532
186,353,4532,4562
187,358,4551,3393
188,359,3393,4551
189,366,4140,4146
190,367,4146,4140
191,368,4146,3380
192,369,3380,4146
193,390,2908,2902
194,391,2902,2908
195,403,2932,3390
196,404,3390,2932
197,413,137,138
198,414,138,137
199,417,142,145
200,418,145,142
201,419,145,147
202,420,147,145
203,421,314,339
204,422,339,314
205,435,3553,3560
206,443,2428,2430
207,444,2430,2428
208,447,426,429
209,448,429,426
210,449,429,265
211,450,265,429
212,451,265,432
213,452,432,265
214,457,718,712
215,458,712,718
216,459,990,715
217,460,715,990
218,461,990,712
219,462,712,990
220,463,724,990
221,464,990,724
222,465,3364,990
223,466,990,3364
224,469,3693,3694
225,470,3694,3693
226,473,3736,4169
227,474,4169,3736
228,475,4169,4995
229,476,4995,4169
230,477,4995,2763
231,478,2763,4995
232,479,3732,3734
233,480,3734,3732
234,481,3734,4181
235,482,4181,3734
236,483,4181,3736
237,484,3736,4181
238,485,3304,4146
239,486,4146,3304
240,491,2607,2603
241,492,2603,2607
242,493,3115,2100
243,494,2100,3115
244,495,4023,3115
245,496,3115,4023
246,497,2609,2607
247,498,2607,2609
248,499,2613,2609
249,500,2609,2613
250,501,712,984
251,502,984,712
252,503,4169,3357
253,504,3357,4169
254,511,4745,4755
255,512,4755,4745
256,517,2312,2316
257,518,2316,2312
258,523,4821,4805
259,524,4805,4821
260,525,4805,4810
261,526,4810,4805
262,527,4541,3399
263,528,3399,4541
264,529,2822,2827
265,530,2827,2820
266,533,3382,3449
267,534,3449,3382
268,558,4930,4932
269,559,4932,4930
270,560,4932,2629
271,561,2629,4932
272,562,2629,4934
273,563,4934,2629
274,564,4934,2613
275,565,2613,4934
276,566,4934,4971
277,567,4971,4934
278,568,4935,4971
279,569,4971,4935
280,570,2674,4935
281,571,4935,2674
282,572,2706,2674
283,573,2674,2706
284,574,4930,2706
285,575,2706,4930
286,576,4932,4935
287,577,4935,4932
288,578,4935,2613
289,579,2613,4935
290,581,984,715
291,582,715,984
292,585,115,354
293,586,354,115
294,587,4698,2956
295,588,2956,4698
296,591,844,417
297,592,417,844
298,595,2421,2745
299,596,2745,2421
300,597,2745,4084
301,598,4084,2745
302,601,3567,3560
303,602,3560,3567
304,603,3198,4698
305,604,4698,3198
306,605,4636,3198
307,606,3198,4636
308,607,3694,3198
309,608,3198,3694
310,609,125,851
311,610,851,125
312,611,354,844
313,612,844,354
314,613,2419,3290
315,614,3290,2419
316,615,3290,4084
317,616,4084,3290
318,617,3290,3558
319,618,3558,3290
320,619,3558,3440
321,620,3440,3558
322,621,3558,3555
323,622,3555,3558
324,627,775,790
325,628,790,775
326,629,790,791
327,630,791,790
328,631,791,777
329,632,777,791
330,633,777,778
331,634,778,777
332,635,778,374
333,636,374,778
334,637,371,374
335,638,374,371
336,639,369,371
337,640,371,369
338,641,777,788
339,642,788,777
340,643,788,371
341,644,371,788
342,645,791,788
343,646,788,791
344,647,369,170
345,648,170,369
346,651,860,777
347,652,777,860
348,655,853,775
349,656,775,853
350,657,851,853
351,658,853,851
352,659,129,853
353,660,853,129
354,661,371,174
355,662,174,371
356,663,369,790
357,664,790,369
358,665,369,775
359,666,775,369
360,667,3443,3441
361,668,3441,3443
362,669,3441,3440
363,670,3440,3441
364,673,188,927
365,674,927,188
